"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"XFX Speedster QICK 319 Core","(1)","Radeon RX 7800 XT","16 GB","1295 MHz","2430 MHz","Black","335 mm","$499.99"
"MSI VENTUS 3X E OC","(0)","GeForce RTX 4070 Ti","12 GB","2310 MHz","2655 MHz","Silver / Black","308 mm","$714.99"
"PowerColor Red Dragon OC","(8)","Radeon RX 6800 XT","16 GB","1825 MHz","2310 MHz","Black","310 mm","$489.99"
"Zotac GAMING AMP Holo","(1)","GeForce RTX 3070 LHR","8 GB","1500 MHz","1785 MHz","Black","291 mm","$359.99"
"Asus ROG STRIX GAMING OC","(5)","GeForce RTX 4070 Ti","12 GB","2310 MHz","2790 MHz","Black","336 mm","$899.99"
"Gigabyte GAMING OC","(4)","GeForce RTX 4070","12 GB","1920 MHz","2565 MHz","Black","300 mm","$609.00"
"MSI Ventus XS OCV1","(1)","GeForce GTX 1650 G6","4 GB","1410 MHz","1620 MHz","Black / Silver","179 mm","$149.99"
"XFX Speedster SWFT 210 Core","(1)","Radeon RX 7600","8 GB","1875 MHz","2655 MHz","Black","241 mm","$239.99"
"Gigabyte GAMING OC","(0)","GeForce RTX 4060 Ti","16 GB","2310 MHz","2595 MHz","Black","281 mm","$459.99"
"Asus TUF GAMING OC","(2)","GeForce RTX 3060 Ti","8 GB","1410 MHz","1785 MHz","Black","302 mm","$389.99"
"PowerColor Hellhound","(4)","Radeon RX 7900 XT","20 GB","2000 MHz","2500 MHz","Black","320 mm","$729.99"
"Gigabyte EAGLE OC","(0)","GeForce RTX 4060","8 GB","1830 MHz","Black","272 mm","","$304.99"
"Gigabyte GAMING OC","(3)","GeForce RTX 4080","16 GB","2205 MHz","2535 MHz","Black","342 mm","$1189.99"
