"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"Crucial P5 Plus","(11)","500 GB","$0.110","SSD","1024 MB","M.2-2280","M.2 PCIe 4.0 X4","$54.99"
"Solidigm P41 Plus","(4)","2 TB","$0.041","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$82.99"
"Silicon Power A60","(3)","2 TB","$0.041","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$81.97"
"Samsung 860 Evo","(302)","1 TB","$0.132","SSD","1024 MB","2.5""","SATA 6.0 Gb/s","$132.00"
"Lexar NM710","(2)","1 TB","$0.055","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$54.99"
"Western Digital Black SN770","(20)","500 GB","$0.100","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$49.99"
"Solidigm P41 Plus","(3)","1 TB","$0.050","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$49.99"
"ADATA XPG GAMMIX S70 Blade","(9)","2 TB","$0.050","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$99.99"
"PNY CS2140","(2)","1 TB","$0.050","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$49.99"
"Kingston A400","(59)","480 GB","$0.066","SSD","2.5""","SATA 6.0 Gb/s","","$31.49"
"Lexar NM620","(2)","1 TB","$0.057","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$56.88"
