"td__image--lg src","td__nameWrapper","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__price"
"https://cdna.pcpartpicker.com/static/forever/images/product/6792f9e45d7b69159731f4cd4313496a.256p.jpg","Gigabyte B550I AORUS PRO AX","(82)","AM4","Mini ITX","64 GB","2","Black / Silver","$148.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/6612a5f3f9129c69313ef18ef003d6ff.256p.jpg","Asus ROG STRIX Z790-H GAMING WIFI","(6)","LGA1700","ATX","192 GB","4","Black","$249.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/ba476e86b8d9bbdbc94cd3b59ade76aa.256p.jpg","Gigabyte B450M DS3H WIFI","(20)","AM4","Micro ATX","64 GB","4","Brown / Black","$79.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/f03f1d667284f39b3eaf208a50cdbb68.256p.jpg","MSI PRO B650M-P","(1)","AM5","Micro ATX","192 GB","4","Black / Silver","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/a3e5fe5dadb5c626221a5c13bb9a9c3b.256p.jpg","Asus PRIME Z790-P WIFI","(9)","LGA1700","ATX","192 GB","4","Black / Silver","$209.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/270f20bdd07acc93f5221b539ab75a18.256p.jpg","MSI PRO X670-P WIFI","(8)","AM5","ATX","192 GB","4","Black / White","$198.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/642855fc353779efbac612d0a46e54d0.256p.jpg","Gigabyte B650M AORUS ELITE AX","(14)","AM5","Micro ATX","192 GB","4","Black","$159.99"
"https://m.media-amazon.com/images/I/51VrAy4J9BL.jpg","Asus TUF GAMING X670E-PLUS WIFI","(10)","AM5","ATX","192 GB","4","Black / Orange","$269.99"
"https://m.media-amazon.com/images/I/515LtxB77aL.jpg","ASRock B550M-ITX/ac","(33)","AM4","Mini ITX","64 GB","2","Silver / Black","$129.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/c1355fb3cf80b5d9dec90f0c61cf217b.256p.jpg","Asus ROG STRIX B760-A GAMING WIFI D4","(3)","LGA1700","ATX","128 GB","4","Silver / Black","$184.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/2fab0cd72166896f8652fe39a7be1984.256p.jpg","Asus ROG STRIX B550-F GAMING","(68)","AM4","ATX","128 GB","4","Black","$164.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/42b49b9f2159609f852b3d66df24e1e5.256p.jpg","MSI MAG B660 TOMAHAWK WIFI DDR4","(21)","LGA1700","ATX","128 GB","4","Black / Silver","$181.34"
"https://cdna.pcpartpicker.com/static/forever/images/product/b9ebe8eb9d11bc4ac792b0b4ee3cfc22.256p.jpg","Gigabyte B450M K","(1)","AM4","Micro ATX","64 GB","2","Brown / Silver","$81.81"
"https://cdna.pcpartpicker.com/static/forever/images/product/6cd8c884884b6665f368a5eb3149152c.256p.jpg","MSI MPG Z790 EDGE WIFI","(10)","LGA1700","ATX","192 GB","4","Silver / Black","$299.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/b92bb62d182daebc0d9f5494dd0b2b68.256p.jpg","MSI PRO Z690-A WIFI","(5)","LGA1700","ATX","192 GB","4","Black / Silver","$189.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/a4708cb253c33dacabd68b704a383137.256p.jpg","MSI MAG B760 TOMAHAWK WIFI","(2)","LGA1700","ATX","192 GB","4","Black","$179.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/e63a3a4436b6dfd5254125d5576357b6.256p.jpg","MSI MPG Z490 GAMING PLUS","(12)","LGA1200","ATX","128 GB","4","Black / Silver","$189.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg","ASRock B550 Phantom Gaming 4/ac","(3)","AM4","ATX","128 GB","4","Silver / Black","$84.99"
"https://m.media-amazon.com/images/I/415gDmtLY0L.jpg","Asus ROG STRIX Z690-E GAMING WIFI","(15)","LGA1700","ATX","192 GB","4","Black","$209.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/fc1500861d9fdb521459849de62b11d4.256p.jpg","Asus ROG CROSSHAIR X670E HERO","(8)","AM5","ATX","192 GB","4","Black / Silver","$587.90"
"https://cdna.pcpartpicker.com/static/forever/images/product/a1a4552c218bc30c1738a3642c5691dd.256p.jpg","MSI B450M-A PRO MAX II","(0)","AM4","Micro ATX","64 GB","2","Black","$75.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/eb52ac68a7f657362b1352f894fd24a4.256p.jpg","Gigabyte A620I AX","(0)","AM5","Mini ITX","96 GB","2","Black / Gray","$139.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/9c84b688f61e7464302774dcde515727.256p.jpg","Gigabyte B550 UD AC","(2)","AM4","ATX","128 GB","4","Brown / Black","$119.99"
"https://m.media-amazon.com/images/I/51xxqOCTV1L.jpg","Asus PRIME X670E-PRO WIFI","(4)","AM5","ATX","192 GB","4","Silver / Black","$289.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/3cc58081f734541491b2bfe3b23193cb.256p.jpg","MSI B450M-A PRO MAX","(7)","AM4","Micro ATX","32 GB","2","Black","$64.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/a42ec2d24365991ac8e4f9a3067f2e85.256p.jpg","Gigabyte Z790 AORUS ELITE X WIFI7","(0)","LGA1700","ATX","192 GB","4","Black","$279.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/980d40e0b3880c97083a46d508fc6452.256p.jpg","MSI MAG Z690 TOMAHAWK WIFI DDR4","(27)","LGA1700","ATX","128 GB","4","Black / Silver","$264.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/1ff527bac6e377074a62cc55f571554b.256p.jpg","ASRock B550M PG RIPTIDE","(6)","AM4","Micro ATX","128 GB","4","","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/3d0c178741ea08557f25b7636b3097de.256p.jpg","ASRock B650E PG RIPTIDE WIFI","(3)","AM5","ATX","192 GB","4","Black / Blue","$179.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/573013b092908c16d07b52d277c1d643.256p.jpg","Gigabyte B760M GAMING X AX DDR4","(1)","LGA1700","Micro ATX","128 GB","4","Black","$149.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/ea9335fbc8a992cf112531ffec280ca5.256p.jpg","Asus ROG STRIX Z790-E GAMING WIFI II","(0)","LGA1700","ATX","192 GB","4","Black","$499.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/a8495725e51b379eb0d32c9199ebf463.256p.jpg","Gigabyte Z790 AORUS PRO X","(0)","LGA1700","ATX","192 GB","4","Silver","$389.99"
"https://m.media-amazon.com/images/I/61-3Dc+m9DL.jpg","MSI B450 Gaming Plus MAX","(36)","AM4","ATX","128 GB","4","Red / Black","$92.98"
"https://cdna.pcpartpicker.com/static/forever/images/product/ba8a47cf76ca2ff720bf84952382fb64.256p.jpg","MSI PRO Z790-A WIFI","(6)","LGA1700","ATX","192 GB","4","Black / Silver","$209.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/3bd83927f70a99f317391f13be943f3f.256p.jpg","Asus TUF GAMING B760M-PLUS WIFI D4","(2)","LGA1700","Micro ATX","128 GB","4","Black / Orange","$172.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/55e1dfa874949b0ba8b804d3584d170c.256p.jpg","Gigabyte B550M AORUS ELITE","(7)","AM4","Micro ATX","128 GB","4","Black / Orange","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/40e47e0c22c38ba2269880dd81c305f3.256p.jpg","ASRock B650I Lightning Wifi","(0)","AM5","Mini ITX","96 GB","2","Black","$199.99"
