"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"AMD Ryzen 5 2600X","(230)","6","3.6 GHz","4.2 GHz","95 W","None","Yes","$210.00"
"Intel Core i7-11700F","(2)","8","2.5 GHz","4.9 GHz","65 W","None","Yes","$214.99"
"Intel Core i9-10850K","(59)","10","3.6 GHz","5.2 GHz","125 W","Intel UHD Graphics 630","Yes","$284.00"
"AMD Ryzen 3 3100","(63)","4","3.6 GHz","3.9 GHz","65 W","None","Yes","$89.99"
"AMD Ryzen 5 3400G","(55)","4","3.7 GHz","4.2 GHz","65 W","Radeon Vega 11","Yes","$149.99"
"Intel Core i5-8400","(83)","6","2.8 GHz","4 GHz","65 W","Intel UHD Graphics 630","No","$160.00"
"Intel Core i7-13700","(3)","16","2.1 GHz","5.2 GHz","65 W","Intel UHD Graphics 770","Yes","$387.97"
"AMD Ryzen 5 2400G","(1)","4","3.6 GHz","3.9 GHz","65 W","Radeon Vega 11","Yes","$66.29"
"AMD Ryzen 9 3950X","(62)","16","3.5 GHz","4.7 GHz","105 W","None","Yes","$525.00"
"Intel Core i3-13100","(1)","4","3.4 GHz","4.5 GHz","60 W","Intel UHD Graphics 730","Yes","$147.10"
"Intel Core i7-10700F","(7)","8","2.9 GHz","4.8 GHz","65 W","None","Yes","$209.97"
"Intel Core i7-8700","(58)","6","3.2 GHz","4.6 GHz","65 W","Intel UHD Graphics 630","Yes","$276.00"
"Intel Core i7-4790K","(563)","4","4 GHz","4.4 GHz","88 W","Intel HD Graphics 4600","Yes",""
"AMD Ryzen 5 1600 (14nm)","(362)","6","3.2 GHz","3.6 GHz","65 W","None","Yes","$136.00"
"Intel Core i3-10105F","(5)","4","3.7 GHz","4.4 GHz","65 W","None","Yes","$84.86"
"Intel Core i7-12700","(6)","12","2.1 GHz","4.9 GHz","65 W","Intel UHD Graphics 770","Yes","$304.00"
"Intel Core i5-6600K","(428)","4","3.5 GHz","3.9 GHz","91 W","Intel HD Graphics 530","No","$130.00"
"Intel Core i7-4770","(42)","4","3.4 GHz","3.9 GHz","84 W","Intel HD Graphics 4600","Yes","$105.00"
"Intel Core i5-11600K","(34)","6","3.9 GHz","4.9 GHz","125 W","Intel UHD Graphics 750","Yes","$226.71"
